bbl,bin,address_or_label,zipcode,residential_use_type,land_use,building_class,residential_units,residential_capacity_units,total_units,residential_floor_area,estimated_household_capacity,under5_capacity_signal,preschool_age_capacity_signal,hgl_building_opportunity_score,capacity_model_confidence,capacity_model_method,non_residential_flag,mixed_use_flag
1008490030,1016210,43 EAST 20 STREET,10003,Mixed-use,Mixed residential/commercial,S9,4,4,8,9571.0,4,0.224,0.224,3.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008500022,1016247,27 EAST 21 STREET,10010,Commercial/office,Commercial/office,O6,0,0,10,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500011,1080766,929 BROADWAY,10010,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,8,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008220031,1015499,154 5 AVENUE,10010,Commercial/office,Commercial/office,O6,0,0,52,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008510050,1016290,38 EAST 23 STREET,10010,Commercial/office,Commercial/office,O5,0,0,5,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008510035,1016286,286 PARK AVENUE SOUTH,10010,Commercial/office,Commercial/office,O6,0,0,15,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008770018,1017990,2 LEXINGTON AVENUE,10010,Residential,Commercial/office,H1,23,23,24,0,23,1.586,1.586,3.92,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008490022,1016204,27 EAST 20 STREET,10003,Mixed-use,Mixed residential/commercial,K4,3,3,5,2484.0,3,0.168,0.168,2.94,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008440026,1016089,41 UNION SQUARE,10003,Commercial/office,Commercial/office,O6,0,0,201,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008220045,1087636,4 WEST 21 STREET,10010,Mixed-use,Residential multi-family elevator,D4,54,54,56,104254.0,54,3.724,3.724,6.07,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008770022,1017991,1 LEXINGTON AVENUE,10010,Residential,Residential multi-family elevator,D4,28,28,28,75379.0,28,1.931,1.931,4.19,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008480012,1016161,889 BROADWAY,10003,Mixed-use,Residential multi-family elevator,D0,17,17,18,38809.0,17,0.95,0.95,4.41,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008500011,1080767,929 BROADWAY,10010,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,8,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
